【バリデーション結果】
文末解析: High
語彙解析: High
構造解析: High
判定: マニュアルとして有効
作業数: 2 (判定: Middle) — 仮タイトル列挙: 「使用前点検」「研削作業」(主要作業: 研削作業を選択)
ノード数: 36 (手順: 18, 急所: 18)
分割: あり → ①使用前点検　②研削作業

【シナリオ】
カット番号	手順番号	映像説明	撮影方法	ナレーション	字幕
13	急所6-1	簡易集塵機の場合のシュート確認の接写	接写(ヨリ)	簡易集塵機はシュート部の水没状態を特に確認します。	簡易集塵機の注意
14	手順7	主スイッチの投入と札の取り外し、指差確認呼称を行う場面	中間(チュウ)	主スイッチを投入し、札を取り外して指差確認呼称を行います。	主スイッチ投入・指差確認
15	手順8	防塵メガネ（ゴーグル）と防塵マスクを着用する様子（顔周りのフィット感）	中間(チュウ)	ゴーグルタイプの防塵メガネと防塵マスクを着用し、顔に密着させます。	ゴーグル・マスク着用
16	急所8-1	メガネの清掃（エアーブロー）やフィット感の接写	接写(ヨリ)	メガネは事前にエアーブロー等で清潔にし、顔に密着させます。	メガネ清潔・密着
17	手順9	空運転（手元スイッチ投入）で砥石を1分以上回している全景（砥石回転・作業者）	俯瞰(ヒキ)	手元スイッチで空運転を1分以上実施し、異音・異常振動がないか確認します。砥石カバーをかぶせます。	空運転1分・異常確認
18	急所9-1	空運転中の異音・振動の確認ポイント（メーターや振動箇所の接写）	接写(ヨリ)	異音や振動があれば運転を停止し点検します。	異音・振動の確認
19	手順10	空運転終了（手元スイッチ開放）の場面、二名同時作業禁止の注意表示	中間(チュウ)	空運転を終了し、手元スイッチを開放します。二名での同時作業は禁止です。	空運転終了・二名禁止
20	-	再・俯瞰：作業エリアの再確認、これから研削作業へ移る旨を示す	俯瞰(ヒキ)	作業エリアと工具の配置を再確認します。これから研削作業へ移ります（②へ）。	研削作業へ移行
21	-	動画サマリー：研削作業の実演と注意点②	-	このパートでは実際の研削作業と重要な注意点を示します（②）。	研削作業実演②
22	-	研削作業の全景（作業者の立ち位置、足の構え、砥石の正面位置）	俯瞰(ヒキ)	研削作業時の立ち位置と足の構えを俯瞰で示します。	研削作業全景
23	手順11	砥石カバーを使用側のみ取手で開ける様子（開ける手元）	中間(チュウ)	使用する側の砥石カバーを取手を持って開けます。砥石回転時は注意します。	砥石カバー開放
24	急所11-1	2名同時の研削作業禁止の注意表示（テロップ）	中間(チュウ)	同時に2名で研削作業を行わないでください。	二名同時作業禁止
25	手順12	手元スイッチの投入と作業姿勢（足を前後に開く）の表示	中間(チュウ)	手元スイッチを投入し、足を前後に開いて踏ん張れる姿勢を取ります。指差確認呼称を行います。	手元スイッチ投入・姿勢
26	急所12-1	保護具着装の最終確認（ゴーグル・手袋・マスク）	中間(チュウ)	保護メガネ、保護手袋、防塵マスクが確実に着装されていることを確認します。	保護具最終確認
27	手順13	研削実施：被切削物をレスト台に載せ、反利き手をレスト台に添えて徐々に砥石へ押し付ける（手元接写）	接写(ヨリ)	被切削物をレスト台に載せ、反利き手をレスト台に添えて徐々に砥石へ押し付けて研削します。	研削：レスト台・徐々に押付け
28	急所13-1	小物把持方法（プライヤー・専用治具使用）の接写	接写(ヨリ)	50mm以下の小物はプライヤーや専用治具で把持して研削します。	小物は治具で把持
29	急所13-2	材料別注意（噛み込みやすい銅、発熱しやすいステン等）のテロップと例示映像	接写(ヨリ)	材料特性に応じて押付け力や冷却を調整します（銅は噛み込み注意、ステンは冷却重視）。	材料別注意
30	急所13-3	砥石側面使用禁止の注意（砥石側面に手を近づけない）を示す接写	接写(ヨリ)	砥石の側面使用は禁止です。必ず正面で研削します。	砥石側面使用禁止
31	急所13-4	連続切削を避け冷却を行う様子（冷却の間隔を取る場面）	接写(ヨリ)	連続切削を避け、適度に冷却を行いながら作業します。	適度な冷却・インターバル
32	手順14	研削終了後、手元スイッチを開放する場面	中間(チュウ)	研削を終了したら手元スイッチを開放します。指差確認呼称を行います。	手元スイッチ開放
33	手順15	砥石が完全停止したことを確認して目視点検する様子（砥石表面の確認）	接写(ヨリ)	砥石が完全に停止してから目視で砥石の状態を確認します。	砥石停止後点検
34	急所15-1	摩耗が多い場合のトング・レスト調整の指示（調整箇所の接写）	接写(ヨリ)	砥石摩耗が多い場合はトングやレストを調整します。	摩耗時はトング・レスト調整
35	手順16	砥石カバーをかぶせる場面	中間(チュウ)	砥石カバーを確実にかぶせます。	砥石カバー装着
36	手順17	主スイッチの解放と指差確認呼称の場面	中間(チュウ)	作業終了後、主スイッチを解放し指差確認呼称を行います。	主スイッチ解放
37	手順18	周辺の整理整頓（1S）と集塵機の清掃が必要な場合の対応、保護具着装のまま実施する様子	中間(チュウ)	周辺の清掃・整理整頓を行い、可燃性や粉塵事故の恐れがある場合は集塵機の掃除も実施します。保護具は着装したまま行います。	周辺の1S・集塵清掃
38	-	最終俯瞰：作業エリア全景と作業完了の要点確認（設備と安全ポイントを俯瞰で振返る）	俯瞰(ヒキ)	以上で研削作業を終了します。作業の安全点と品質点を再確認してください。	作業完了・安全確認
