M11	replayResponse() から Idempotent-Replayed を外す	保存レスポンスを再生する	RED-AS-DESIGNED	{"result": "failed", "failed": 1, "errors": null, "tests": 9, "names": ["P\\Tests\\Feature\\Api\\IdempotencyTest::__pest_evaluable_同一_Idempotency_Key_の再送は保存レスポンスを再生する__副作用_1_回_"]}
M12	IdempotencyHeaders::REPLAYED を Idempotency-Replayed に変える	replay_header	RED-OTHER	{"result": "failed", "failed": 1, "errors": null, "tests": 9, "names": ["P\\Tests\\Architecture\\IdempotencyContractParityTest::__pest_evaluable_マーカー区間の_replay__header_は_IdempotencyHeaders__REPLAYED_と一致する"]}
M13	config/idempotency.php の 24 を 48 にする	retention_hours	RED-OTHER	{"result": "failed", "failed": 2, "errors": null, "tests": 9, "names": ["P\\Tests\\Architecture\\IdempotencyContractParityTest::__pest_evaluable_マーカー区間の_retention__hours_は_config_と一致する", "P\\Tests\\Architecture\\IdempotencyContractParityTest::__pest_evaluable_retention__hours_は_24_に_pin_されている"]}
M14	config/idempotency.php を env() 参照にする	env() を使わない	RED-AS-DESIGNED	{"result": "failed", "failed": 1, "errors": null, "tests": 9, "names": ["P\\Tests\\Architecture\\IdempotencyContractParityTest::__pest_evaluable_config_idempotency_php_は_env___を使わない"]}
M15	IdempotentRequest に TTL_HOURS 定数を戻す	クラス定数が復活していない	RED-AS-DESIGNED	{"result": "failed", "failed": 1, "errors": null, "tests": 9, "names": ["P\\Tests\\Architecture\\IdempotencyContractParityTest::__pest_evaluable_保持期間のクラス定数が復活していない__二重管理への逆戻り検出_"]}
M16	docs/api-idempotency.md のマーカーを消す	マーカー区間を持つ	RED-AS-DESIGNED	{"result": "failed", "failed": null, "errors": 6, "tests": 9, "names": ["P\\Tests\\Architecture\\IdempotencyContractParityTest::__pest_evaluable_契約文書が存在しマーカー区間を持つ", "P\\Tests\\Architecture\\IdempotencyContractParityTest::__pest_evaluable_マーカー区間の_retention__hours_は_config_と一致する", "P\\Tests\\Architecture\\IdempotencyContractParityTest::__pest_evaluable_マーカー区間の_replay__header_は_IdempotencyHeaders__REPLAYED_と一致する", "P\\Tests\\Architecture\\IdempotencyContractParityTest::__pest_evaluable_マーカー区間の_states_は_IdempotencyState_の全_case_と一致する", "P\\Tests\\Architecture\\IdempotencyContractParityTest::__pest_evaluable_マーカー区間の_terminal__states_は_completed___indeterminate_の_2_つだけ", "P\\Tests\\Architecture\\IdempotencyContractParityTest::__pest_evaluable_マーカー区間の_conflict__codes_は_ApiErrorCode_の_409_系_case_と一致する"]}
M17	ToolName に write tool の case を 1 本足す	write tool は 0 本	RED-OTHER	{"result": "failed", "failed": 1, "errors": null, "tests": 6, "names": ["P\\Tests\\Architecture\\McpWriteToolIdempotencyEnforcementTest::__pest_evaluable_MCP_write_tool_は_0_本である__据え置きの明示的な_pin_"]}
M18	AppMcpTool::handle() の final を外す	final である	RED-OTHER	{"result": "failed", "failed": 1, "errors": null, "tests": 6, "names": ["P\\Tests\\Architecture\\McpWriteToolIdempotencyEnforcementTest::__pest_evaluable_AppMcpTool__handle___は_final_である"]}
M19	ToolName::isWriteTool() に default => false を足す	網羅 match	RED-OTHER	{"result": "failed", "failed": 1, "errors": null, "tests": 6, "names": ["P\\Tests\\Architecture\\McpWriteToolIdempotencyEnforcementTest::__pest_evaluable_ToolName__isWriteTool___は網羅_match_で書かれている__default_を持たない_"]}
M20	prune の state 別 DELETE を一括 DELETE に戻す	state 別に出力	RED-OTHER	{"result": "failed", "failed": 1, "errors": 1, "tests": 6, "names": ["P\\Tests\\Feature\\Console\\PruneIdempotencyKeysCommandTest::__pest_evaluable_削除件数を_state_別に出力する", "P\\Tests\\Feature\\Console\\PruneIdempotencyKeysCommandTest::__pest_evaluable_processing_の期限切れが_0_件なら_report_しない"]}
M21	prune から expires_at <= cutoff 条件を外す	1 件も削除しない	RED-OTHER	{"result": "failed", "failed": 2, "errors": 1, "tests": 6, "names": ["P\\Tests\\Feature\\Console\\PruneIdempotencyKeysCommandTest::__pest_evaluable_期限切れの_REST_冪等キーを_state_横断で削除する", "P\\Tests\\Feature\\Console\\PruneIdempotencyKeysCommandTest::__pest_evaluable_未期限の行は_1_件も削除しない__負のコントロール_", "P\\Tests\\Feature\\Console\\PruneIdempotencyKeysCommandTest::__pest_evaluable_processing_の期限切れが_0_件なら_report_しない"]}
M22	migration の backfill を indeterminate に変える	backfill される	RED-OTHER	{"result": "failed", "failed": 1, "errors": null, "tests": 4, "names": ["P\\Tests\\Feature\\Database\\IdempotencyStateMigrationTest::__pest_evaluable_既存行は_completed_へ_backfill_される"]}
M23	migration の state に DB default を残す	DB default を持たない	RED-OTHER	{"result": "failed", "failed": 1, "errors": null, "tests": 4, "names": ["P\\Tests\\Feature\\Database\\IdempotencyStateMigrationTest::__pest_evaluable_state_列は_NOT_NULL_で_DB_default_を持たない"]}
M24	finalize() の json_encode を外して配列のまま渡す	DB へ往復	GREEN-UNEXPECTED	{"result": "passed", "failed": null, "errors": null, "tests": 13, "names": []}
M25	handle() のキー長検証を外す	255 文字を超える	RED-OTHER	{"result": "failed", "failed": 1, "errors": null, "tests": 13, "names": ["P\\Tests\\Feature\\Api\\IdempotencyConcurrentClaimTest::__pest_evaluable_255_文字を超える_Idempotency_Key_は_422_で弾かれ副作用も冪等行も作らない"]}
M26	IdempotencyKey::isExpired() の引数型を ?Carbon に戻す	期限切れの processing	RED-OTHER	{"result": "failed", "failed": 6, "errors": null, "tests": 13, "names": ["P\\Tests\\Feature\\Api\\IdempotencyConcurrentClaimTest::__pest_evaluable_処理中の同一キーは_controller_を実行せず_409_idempotency__in__progress", "P\\Tests\\Feature\\Api\\IdempotencyConcurrentClaimTest::__pest_evaluable_決着済み__completed__の行があれば_controller_を実行せず再生する", "P\\Tests\\Feature\\Api\\IdempotencyConcurrentClaimTest::__pest_evaluable_indeterminate_の行があれば_409_idempotency__indeterminate_で副作用ゼロ", "P\\Tests\\Feature\\Api\\IdempotencyConcurrentClaimTest::__pest_evaluable_期限切れの_processing_行は削除されて再_claim_できる", "P\\Tests\\Feature\\Api\\IdempotencyConcurrentClaimTest::__pest_evaluable_409_の_3_コードはいずれも_error_envelope_の形が同じ", "P\\Tests\\Feature\\Api\\IdempotencyConcurrentClaimTest::__pest_evaluable_completed_の保存_body_は_DB_へ往復してから再生される"]}
